colony,treatment,emigration,ID,age,colour
47,no_choice,3,wpw,new,none
47,no_choice,3,ybo,new,yellow
53,choice,1,bgw,dead,none
53,choice,1,gbo,old,blue
53,choice,1,ggb,old,none
53,choice,1,gow,old,yellow
53,choice,1,gwg,old,blue
53,choice,1,gyy,old,green
53,choice,1,obg,old,blue
53,choice,1,ogy,old,yellow
53,choice,1,owb,old,yellow
53,choice,1,oyw,old,blue
53,choice,1,wbw,old,yellow
53,choice,1,wgg,old,none
53,choice,1,woo,old,green
53,choice,1,wwy,old,yellow
53,choice,1,wyb,old,none
53,choice,1,ybb,old,none
53,choice,1,ygo,old,blue
53,choice,1,yoy,old,yellow
53,choice,1,yww,old,none
53,choice,1,yyg,old,green
53,choice,1,y,old,yellow
53,choice,1,o,old,blue
53,choice,1,bob,new,none
53,choice,1,bwo,new,blue
53,choice,1,bww,new,none
53,choice,1,oob,new,none
53,choice,1,pwp,new,none
53,choice,1,ypp,new,none
53,choice,2,bgw,dead,blue
53,choice,2,gbo,old,blue
53,choice,2,ggb,old,blue
53,choice,2,gow,old,none
53,choice,2,gwg,old,none
53,choice,2,gyy,old,blue
53,choice,2,obg,old,none
53,choice,2,ogy,old,blue
53,choice,2,owb,old,none
53,choice,2,oyw,old,none
53,choice,2,wbw,old,blue
53,choice,2,wgg,old,blue
53,choice,2,woo,old,none
53,choice,2,wwy,old,none
53,choice,2,wyb,old,blue
53,choice,2,ybb,old,blue
53,choice,2,ygo,old,blue
53,choice,2,yoy,old,blue
53,choice,2,yww,old,none
53,choice,2,yyg,old,blue
53,choice,2,y,old,blue
53,choice,2,o,old,blue
53,choice,2,bob,new,blue
53,choice,2,bwo,new,blue
53,choice,2,bww,new,none
53,choice,2,oob,new,none
53,choice,2,pwp,new,none
53,choice,2,ypp,new,none
53,choice,3,bgw,dead,none
53,choice,3,gbo,old,yellow
53,choice,3,ggb,old,none
53,choice,3,gow,old,yellow
53,choice,3,gwg,old,green
53,choice,3,gyy,old,none
53,choice,3,obg,old,yellow
53,choice,3,ogy,old,yellow
53,choice,3,owb,old,none
53,choice,3,oyw,old,yellow
53,choice,3,wbw,old,yellow
53,choice,3,wgg,old,green
53,choice,3,woo,old,yellow
53,choice,3,wwy,old,yellow
53,choice,3,wyb,old,yellow
53,choice,3,ybb,old,none
53,choice,3,ygo,old,none
53,choice,3,yoy,old,none
53,choice,3,yww,old,none
53,choice,3,yyg,old,none
53,choice,3,y,old,yellow
53,choice,3,o,old,blue
53,choice,3,bob,new,yellow
53,choice,3,bwo,new,yellow
53,choice,3,bww,new,none
53,choice,3,oob,new,none
53,choice,3,pwp,new,none
53,choice,3,ypp,new,none
55,choice,1,bwb,old,blue
55,choice,1,gbo,old,none
55,choice,1,gyy,old,blue
55,choice,1,obg,old,blue
55,choice,1,ogy,old,blue
55,choice,1,oob,old,blue
55,choice,1,oyo,old,blue
55,choice,1,wgg,old,blue
55,choice,1,woy,old,blue
55,choice,1,wwo,old,blue
55,choice,1,wyw,old,blue
55,choice,1,ybw,old,none
